"","X","WaterYear","ResID","ResName","ResNameAbbrev","FieldID","FieldName","FieldUnits","AnnualValue","TenYearRelease","OneYearTarget","OneYearTarget82","TenYearTarget","TenYearTarget82"
"1",61,1963,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",0.51387768598,NA,7.48,8.23,74.8,82.3
"2",70,1964,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",2.4134836362,NA,7.48,8.23,74.8,82.3
"3",79,1965,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",10.82007272971,NA,7.48,8.23,74.8,82.3
"4",88,1966,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",7.85430744027,NA,7.48,8.23,74.8,82.3
"5",97,1967,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",7.79738182091,NA,7.48,8.23,74.8,82.3
"6",106,1968,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.33385124231,NA,7.48,8.23,74.8,82.3
"7",115,1969,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.82335206704,NA,7.48,8.23,74.8,82.3
"8",124,1970,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.67225124195,NA,7.48,8.23,74.8,82.3
"9",133,1971,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.59073058051,NA,7.48,8.23,74.8,82.3
"10",142,1972,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",9.31077025121,73.13007869609,7.48,8.23,74.8,82.3
"11",151,1973,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",10.10806611736,82.72426712747,7.48,8.23,74.8,82.3
"12",160,1974,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.26607603471,88.57685952598,7.48,8.23,74.8,82.3
"13",169,1975,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",9.2551338855,87.01192068177,7.48,8.23,74.8,82.3
"14",178,1976,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.4820363656,87.6396496071,7.48,8.23,74.8,82.3
"15",187,1977,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.26040330692,88.10267109311,7.48,8.23,74.8,82.3
"16",196,1978,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.35366611794,88.12248596874,7.48,8.23,74.8,82.3
"17",205,1979,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.29650248128,87.59563638298,7.48,8.23,74.8,82.3
"18",214,1980,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",10.90748429942,89.83086944045,7.48,8.23,74.8,82.3
"19",223,1981,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.29515372036,89.5352925803,7.48,8.23,74.8,82.3
"20",232,1982,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.30439471313,88.52891704222,7.48,8.23,74.8,82.3
"21",241,1983,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",17.4934413236,95.91429224846,7.48,8.23,74.8,82.3
"22",250,1984,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",20.4994115723,108.14762778605,7.48,8.23,74.8,82.3
"23",259,1985,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",19.0941024838,117.98659638435,7.48,8.23,74.8,82.3
"24",268,1986,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",16.84784132662,126.35240134537,7.48,8.23,74.8,82.3
"25",277,1987,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",13.428595043,131.52059308145,7.48,8.23,74.8,82.3
"26",286,1988,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.14361653083,131.31054349434,7.48,8.23,74.8,82.3
"27",295,1989,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.00741157217,131.02145258523,7.48,8.23,74.8,82.3
"28",304,1990,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.14040330822,128.25437159403,7.48,8.23,74.8,82.3
"29",313,1991,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.12140165553,128.0806195292,7.48,8.23,74.8,82.3
"30",322,1992,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.0018975246,127.77812234067,7.48,8.23,74.8,82.3
"31",331,1993,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.1024991767,118.38718019377,7.48,8.23,74.8,82.3
"32",340,1994,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.2885289276,106.17629754907,7.48,8.23,74.8,82.3
"33",349,1995,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",9.2233388459,96.30553391117,7.48,8.23,74.8,82.3
"34",358,1996,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",11.5221421511,90.97983473565,7.48,8.23,74.8,82.3
"35",367,1997,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",13.8237064271,91.37494611975,7.48,8.23,74.8,82.3
"36",376,1998,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",13.5098919478,96.74122153672,7.48,8.23,74.8,82.3
"37",385,1999,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",11.20425059609,99.93806056064,7.48,8.23,74.8,82.3
"38",394,2000,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",9.3808661906,101.17852344302,7.48,8.23,74.8,82.3
"39",403,2001,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.2355338842,101.29265567169,7.48,8.23,74.8,82.3
"40",412,2002,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.2308870263,101.52164517339,7.48,8.23,74.8,82.3
"41",421,2003,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.2285839652,101.64772996189,7.48,8.23,74.8,82.3
"42",430,2004,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.2309407469,101.59014178119,7.48,8.23,74.8,82.3
"43",439,2005,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.2317181835,100.59852111879,7.48,8.23,74.8,82.3
"44",448,2006,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.2283647861,97.30474375379,7.48,8.23,74.8,82.3
"45",457,2007,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.231035548,91.71207287469,7.48,8.23,74.8,82.3
"46",466,2008,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.978025155,87.18020608189,7.48,8.23,74.8,82.3
"47",475,2009,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.2357024789,84.2116579647,7.48,8.23,74.8,82.3
"48",484,2010,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.2347544481,83.0655462222,7.48,8.23,74.8,82.3
"49",493,2011,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",12.5182339101,87.3482462481,7.48,8.23,74.8,82.3
"50",502,2012,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",9.4659420264,88.5833012482,7.48,8.23,74.8,82.3
"51",511,2013,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.2320701592,88.5867874422,7.48,8.23,74.8,82.3
"52",520,2014,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",7.4796571588,87.8355038541,7.48,8.23,74.8,82.3
"53",529,2015,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",9.0002731125,88.6040587831,7.48,8.23,74.8,82.3
"54",538,2016,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.9999829925,89.3756769895,7.48,8.23,74.8,82.3
"55",547,2017,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.9999859131,90.1446273546,7.48,8.23,74.8,82.3
"56",556,2018,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.9999059959,90.1665081955,7.48,8.23,74.8,82.3
"57",565,2019,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",9.0013950367,90.9322007533,7.48,8.23,74.8,82.3
"58",574,2020,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.2300929906,90.9275392958,7.48,8.23,74.8,82.3
"59",583,2021,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.2294730974,86.6387784831,7.48,8.23,74.8,82.3
"60",592,2022,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",6.999125888,84.1719623447,7.48,8.23,74.8,82.3
"61",601,2023,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.580817958,84.5207101435,7.48,8.23,74.8,82.3
"62",610,2024,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",7.4814756594,84.5225286441,7.48,8.23,74.8,82.3
"63",619,2025,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",7.4805636691,83.0028192007,7.48,8.23,74.8,82.3
